"Page","Summary","Date","Category"
"wiki/来源/2026-07-12 几千人催我做的公众号排版 Skill开源了!","围绕几千人催我做的公众号排版 Skill，开源了!，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-12","AI驱动的内容拆解"
"wiki/来源/2026-07-12 十种知识整合方式：结构化+流程化+因果+故事+系统+类比+辩证+价值+空间+演化","围绕十种知识整合方式：结构化+流程化+因果+故事+系统+类比+辩证+价值+空间+演化，提炼从碎片信息中识别结构、关系、矛盾和方法模型的认知加工方式。","2026-07-12","认知结构化"
"wiki/来源/2026-07-12 发展党员小知识（33）：对照2026《细则》全景解析确定发展对象到接收预备党员流程","围绕发展党员小知识（33）：对照2026《细则》全景解析确定发展对象到接收预备党员流程，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 发展党员小知识（43）：新《细则》中有“党委备案”“党委同意”“党委审批”等表述都是什么含义需要开党委会确认吗","围绕发展党员小知识（43）：新《细则》中有“党委备案”“党委同意”“党委审批”等表述，都是什么含义？需要开党委会确认吗？具体如何操作？，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 如何让 Codex 拆解爆款视频","围绕如何让 Codex 拆解爆款视频？，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-12","AI驱动的内容拆解"
"wiki/来源/2026-07-12 学习姜胡说：日更没素材一套公式5个步骤的日更拍摄法","围绕学习姜胡说：日更没素材，一套公式5个步骤的日更拍摄法，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-12","AI驱动的内容拆解"
"wiki/来源/2026-07-12 学法规02-2026《发展党员工作细则》发布实务工作有什么新变化","围绕学法规02-2026《发展党员工作细则》发布，实务工作有什么新变化，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 收藏《中国共产党发展党员工作细则》新旧对照表","围绕收藏！《中国共产党发展党员工作细则》新旧对照表，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 政审材料到底审什么很多支部没搞明白（附模板）","围绕政审材料到底审什么？很多支部没搞明白（附模板），提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 根据最新党员发展细则党员档案里哪些材料必须有哪些可有可无赶快对照检查","围绕根据最新党员发展细则，党员档案里，哪些材料必须有，哪些可有可无？赶快对照检查，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 每年必做入党积极分子队伍分析｜制度+做法直接抄","围绕每年必做！入党积极分子队伍分析｜制度+做法直接抄！，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 爆款不是玄学：我用 Codex 把视频拆成了可复用模板","围绕爆款不是玄学：我用 Codex 把视频拆成了可复用模板，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-12","AI驱动的内容拆解"
"wiki/来源/2026-07-12 玩AI工具和用AI工具的区别","围绕玩AI工具和用AI工具的区别，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-12","Agent技能化工作流"
"wiki/来源/2026-07-12 用codex采集小红书-B站-油管爆款短视频文案完全免费的方案","围绕用codex采集小红书-B站-油管爆款短视频文案，完全免费的方案！，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-12","AI驱动的内容拆解"
"wiki/来源/2026-07-12 近期疯传的一个Codex技巧节省重复操作","围绕近期疯传的一个Codex技巧，节省重复操作，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-12","Agent技能化工作流"
"wiki/来源/2026-07-12 预备党员的教育、考察和转正","围绕预备党员的教育、考察和转正，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
